,p90p100,p50p90,p0p50
0,0.5453,0.3508,0.1039
1,0.5453,0.3508,0.1039
2,0.5453,0.3508,0.1039
3,0.5453,0.3508,0.1039
4,0.5453,0.3508,0.1039
5,0.5453,0.3508,0.1039
6,0.5453,0.3508,0.1039
7,0.5453,0.3508,0.1031
8,0.5477,0.3493,0.1023
9,0.55,0.3477,0.1015
10,0.5523,0.3462,0.1007
11,0.5546,0.3446,0.0999
12,0.557,0.3431,0.0992
13,0.5593,0.3416,0.0992
14,0.5593,0.3416,0.0992
15,0.5593,0.3416,0.0992
16,0.5593,0.3416,0.0992
17,0.5593,0.3416,0.0992
18,0.5593,0.3416,0.0992
19,0.5593,0.3416,0.0992
20,0.5593,0.3416,0.0992
21,0.5593,0.3416,0.0992
