,p90p100,p50p90,p0p50,Wealth-Inc Ratio
0,0.5116,0.369,0.1187,0.890886307
1,0.5136,0.3678,0.1179,1.309158087
2,0.5156,0.3665,0.119,1.728443742
3,0.5124,0.3686,0.1198,1.685792327
4,0.5096,0.3706,0.1207,1.653689742
5,0.5065,0.3728,0.1208,1.779734135
6,0.5055,0.3737,0.1147,2.000547886
7,0.5206,0.3647,0.1151,2.101777315
8,0.5191,0.3658,0.1155,2.161286354
9,0.5176,0.367,0.1157,2.183202744
10,0.5168,0.3676,0.1163,2.166185379
11,0.5144,0.3693,0.1169,2.15730238
12,0.5121,0.371,0.1175,2.050335407
13,0.5098,0.3728,0.1182,2.031685352
14,0.5072,0.3746,0.1174,2.069028854
15,0.5089,0.3737,0.1166,2.108221531
16,0.5106,0.3727,0.1161,2.104516029
17,0.512,0.3719,0.1156,2.059355736
18,0.5134,0.371,0.115,2.002291679
19,0.5149,0.3701,0.1145,1.997562051
20,0.5164,0.3691,0.1145,2.000523567
21,0.5164,0.3692,0.1145,2.023593426
