,p90p100,p50p90,p0p50
0,0.5116,0.369,0.1187
1,0.5136,0.3678,0.1179
2,0.5156,0.3665,0.119
3,0.5124,0.3686,0.1198
4,0.5096,0.3706,0.1207
5,0.5065,0.3728,0.1208
6,0.5055,0.3737,0.1147
7,0.5206,0.3647,0.1151
8,0.5191,0.3658,0.1155
9,0.5176,0.367,0.1157
10,0.5168,0.3676,0.1163
11,0.5144,0.3693,0.1169
12,0.5121,0.371,0.1175
13,0.5098,0.3728,0.1182
14,0.5072,0.3746,0.1174
15,0.5089,0.3737,0.1166
16,0.5106,0.3727,0.1161
17,0.512,0.3719,0.1156
18,0.5134,0.371,0.115
19,0.5149,0.3701,0.1145
20,0.5164,0.3691,0.1145
21,0.5164,0.3692,0.1145
