,p90p100,p50p90,p0p50,Wealth-Inc Ratio
0,0.4578,0.3901,0.152,4.060023785
1,0.4578,0.3901,0.152,4.21868372
2,0.4578,0.3901,0.152,4.373485088
3,0.4578,0.3901,0.152,4.567249775
4,0.4578,0.3901,0.152,5.41592598
5,0.4578,0.3901,0.152,6.108375072
6,0.4578,0.3901,0.152,6.606983662
7,0.4578,0.3901,0.152,7.373466015
8,0.4578,0.3901,0.152,7.978910923
9,0.4643,0.3857,0.1501,8.712417603
10,0.4707,0.3812,0.1481,9.256192207
11,0.4772,0.3767,0.1461,10.44017982
12,0.4836,0.3723,0.1441,10.20352077
13,0.49,0.3678,0.1421,8.560749054
14,0.4965,0.3634,0.1402,7.23706913
15,0.492,0.3663,0.1417,6.587435722
16,0.4875,0.3692,0.1433,6.142376423
17,0.483,0.3721,0.1449,6.100682735
18,0.4785,0.375,0.1465,6.070217133
19,0.474,0.3779,0.1481,6.002553463
20,0.474,0.3779,0.1481,5.908232212
21,0.474,0.3779,0.1481,5.930362701
