,p90p100,p50p90,p0p50
0,0.4578,0.3901,0.152
1,0.4578,0.3901,0.152
2,0.4578,0.3901,0.152
3,0.4578,0.3901,0.152
4,0.4578,0.3901,0.152
5,0.4578,0.3901,0.152
6,0.4578,0.3901,0.152
7,0.4578,0.3901,0.152
8,0.4578,0.3901,0.152
9,0.4643,0.3857,0.1501
10,0.4707,0.3812,0.1481
11,0.4772,0.3767,0.1461
12,0.4836,0.3723,0.1441
13,0.49,0.3678,0.1421
14,0.4965,0.3634,0.1402
15,0.492,0.3663,0.1417
16,0.4875,0.3692,0.1433
17,0.483,0.3721,0.1449
18,0.4785,0.375,0.1465
19,0.474,0.3779,0.1481
20,0.474,0.3779,0.1481
21,0.474,0.3779,0.1481
