,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,,,,,,,,2.5,,1.8,1.5,1.3,1.4,1.52,0.8,0.8,1.2,1.1
1,,2.3,,,2.5,2.5,2.5,2.4,2.6,2.9,3.4,3.2,3.3,3.05,3.3,3.1,3.3,3.6
2,,,,,,2.6,2.7,2.8,3.1,3.0,3.2,2.8,2.9,2.9,3.4,3.6,3.6,3.6
3,,,1.7,,1.7,1.8,2.0,2.0,2.2,2.2,1.9,1.9,1.9,2.01,2.2,2.3,1.9,1.5
4,3.0,3.0,3.5,3.5,2.8,2.5,2.5,2.8,2.9,2.9,2.9,2.9,2.9,3.0,3.5,3.4,3.4,3.2
5,,2.5,2.5,,,3.0,3.1,2.9,2.9,3.0,2.9,2.7,2.6,2.63,3.4,3.6,3.7,3.5
6,8.7,8.7,8.3,8.5,8.6,8.8,8.8,8.8,8.7,8.6,8.7,8.7,8.7,8.84,8.5,8.1,8.0,7.9
7,7.5,7.6,7.7,7.8,7.8,8.0,8.4,8.7,8.6,8.1,8.1,7.9,7.9,7.79,6.9,6.9,7.2,7.6
8,,1.7,1.5,2.0,2.0,1.8,1.9,2.2,2.4,2.1,1.9,2.3,2.4,2.38,2.7,2.8,2.9,2.9
9,,,,,,,,,,,,,,7.29,7.1,7.1,7.1,
10,,,,,,6.1,5.8,5.8,5.7,5.0,5.4,5.1,4.9,5.11,5.1,4.8,4.9,5.1
11,,,,0.4,1.2,1.3,1.5,1.7,2.0,2.0,2.1,2.4,2.4,2.66,2.6,2.7,2.5,2.5
12,,,,,,,7.3,6.9,6.7,6.9,7.0,7.4,7.8,7.77,7.6,7.5,7.4,
13,3.9,3.4,4.1,,4.8,4.2,3.3,2.6,2.1,2.1,2.0,2.4,2.5,2.42,3.1,2.9,3.1,3.2
14,5.4,5.3,6.1,6.6,7.1,7.6,7.5,7.4,7.3,7.1,7.3,7.1,7.1,7.49,7.5,7.5,7.6,7.7
15,,,,,,4.5,3.8,3.7,3.5,3.0,2.9,,,,,,,
16,,,,,,,3.2,2.9,2.5,2.7,3.1,2.9,2.8,2.97,3.6,3.6,3.9,3.7
17,,,,,,,,,6.0,5.0,5.2,5.0,5.7,5.74,6.3,6.3,6.5,6.5
18,2.8,2.5,2.7,2.0,2.2,2.3,2.2,2.5,2.7,2.9,3.0,2.7,2.8,2.76,3.4,3.4,3.5,3.4
19,,,,,,,3.1,2.9,,3.3,3.2,3.0,3.2,3.21,4.2,4.2,3.9,3.8
20,,,,,,,,,2.9,,,,,,,,,
21,,,,,,3.3,,,,,,,,,,,,
22,6.1,6.1,6.0,6.0,6.4,5.7,6.0,5.9,5.6,5.4,5.8,5.6,5.8,6.08,6.5,6.4,6.3,6.3
23,4.0,4.1,3.9,4.0,4.0,3.9,3.9,3.7,3.3,3.5,3.5,3.7,3.7,3.77,4.3,4.2,4.3,3.8
24,,,,,,,,,,,,,5.5,5.21,5.5,6.0,,
25,,,,,,,,,,,,5.5,,,,,,
26,2.9,3.3,3.5,3.9,4.0,3.9,4.1,4.0,4.0,4.1,3.6,3.8,3.6,3.33,4.1,4.1,4.3,4.1
27,,,3.0,,,,,3.4,3.2,2.9,3.5,3.6,3.1,3.05,3.8,3.8,3.8,3.8
28,,,,,,,,2.3,2.4,2.5,1.9,1.8,1.8,1.94,1.9,2.1,2.0,2.1
29,,,,,,,,2.3,2.1,2.0,1.8,2.0,2.1,2.11,2.2,2.0,2.1,2.1
30,1.4,1.5,2.0,2.0,2.2,1.8,2.1,2.2,2.3,2.4,2.3,2.2,2.2,2.45,2.6,2.5,2.7,2.7
31,9.2,9.2,9.2,8.9,9.0,8.7,8.5,8.4,8.5,8.7,8.7,8.7,8.9,8.67,8.4,8.1,8.1,8.3
32,,,,,,,,,,4.9,5.1,5.1,5.1,5.52,6.0,5.8,5.7,5.5
33,,,,,,,,,2.4,2.0,2.0,2.0,2.1,2.21,2.6,2.5,2.4,2.4
34,,,,,,,1.7,1.7,2.0,1.8,1.6,1.6,1.7,2.04,1.9,1.9,2.2,2.2
35,6.8,6.9,7.4,7.5,7.5,7.4,7.4,7.3,7.3,7.0,6.9,6.7,7.2,7.21,7.2,7.1,7.3,7.0
36,3.5,3.4,3.1,3.5,3.5,3.4,3.4,3.2,3.3,3.5,3.6,3.6,3.5,3.64,3.9,4.0,3.6,3.7
37,2.2,2.9,3.2,3.8,3.6,3.7,3.8,4.0,3.9,3.8,3.8,3.7,3.5,3.45,3.6,3.6,3.7,3.7
38,,,,,,,,,,2.6,2.5,2.3,2.1,2.41,2.8,2.8,2.6,2.6
39,,,,,,,,,,,,1.9,,,,,,
40,,,,,,,,,,,,,2.1,,,,,
41,,,,,,,,2.1,2.0,1.9,,,,,,,,
42,,,,,,,2.0,,,,1.7,,,,,,,
43,,,,,,,,,2.2,2.1,,,,,2.6,2.2,2.3,2.3
44,,,,,,,,,,,,,,2.15,,,,
45,,,,,,,,,,,1.9,,,,,,,
46,,,,,,,,2.3,,,,,,,,,,
47,,,,,,,2.3,,,,,,,,,,,
48,,,,,,2.2,,,,,,,,,,,,
49,5.6,5.1,5.4,4.5,4.5,4.3,4.9,4.2,4.1,5.0,5.1,5.3,5.3,4.8,5.4,5.3,5.4,5.5
50,,,,2.4,,,2.0,,,,,,,,,,,
51,,,,,2.7,2.1,,1.9,,2.1,,,,,,,,
52,,,,,,,,,2.1,,2.0,2.1,2.2,2.23,2.9,2.7,3.2,3.2
53,,,2.7,,,,,,,,,,,,,,,
54,,2.7,3.7,3.9,3.8,3.7,3.5,3.4,3.4,4.1,4.4,4.1,4.1,4.03,4.6,4.8,4.8,5.1
55,,,,,,4.6,3.7,3.8,3.5,4.2,4.3,4.4,3.7,4.16,4.8,4.6,4.6,4.7
56,,,,,,6.1,5.4,5.7,5.6,5.3,6.4,6.6,6.3,6.27,6.6,6.3,6.3,6.1
57,4.8,4.6,4.3,3.9,3.7,3.9,4.2,4.3,4.8,,5.2,4.9,4.6,4.37,4.9,4.8,5.1,5.6
58,,,,,,,,,,5.2,,,,,,,,
59,,,,,,,,,,,,1.9,2.0,,,,,
60,,,,,,,,,,,,,,,2.1,2.2,2.2,2.2
61,,,,,,,,,,,,,,2.02,,,,
62,10.0,10.0,9.8,9.5,9.5,9.5,9.5,9.5,9.5,9.4,9.3,9.3,9.3,9.39,9.0,9.1,9.2,9.1
63,,,,,,,,,,2.9,3.0,2.8,3.2,2.98,3.6,3.6,3.4,3.4
64,,,,,,,,,4.5,5.6,6.0,5.9,5.2,5.17,5.8,5.8,5.8,
65,,,,3.1,,,,,,,,,,,,,,
66,,,,,3.5,,,,,,,,,,,,,
67,,,,,,3.3,2.9,3.0,2.8,3.0,3.0,3.0,3.0,2.59,3.2,2.9,3.2,3.3
68,2.3,2.4,2.6,2.3,2.2,2.2,2.4,2.5,2.3,2.1,2.0,2.2,2.5,2.65,3.2,3.5,3.3,3.2
