Country,Mauritius,,,,,,,,,,,
Variable,CPI,p90p100,p50p90,p0p50,p99p100,Nat Inc pAdult,Nat Inc pAdult,Nat Wealth pAdult,Wealth-Inc Ratio,10/50 Ratio,Pop,
1998,5,0.4578,0.3901,0.152,0.1374,12783.4058,13855.7675,51900.9383,4.060023785,,, 
1999,4.9,0.4578,0.3901,0.152,0.1374,13690.6223,14101.1992,57756.4098,4.21868372,,,
2000,4.7,0.4578,0.3901,0.152,0.1374,14002.9229,14826.9775,61241.5769,4.373485088,,,
2001,4.6,0.4578,0.3901,0.152,0.1374,14514.1506,15197.6426,66289.7585,4.567249775,,,
2002,4.5,0.4578,0.3901,0.152,0.1374,15420.4451,15329.9491,83515.9722,5.41592598,,,
2003,4.4,0.4578,0.3901,0.152,0.1374,16528.3231,16352.6022,100961.2035,6.108375072,,,
2004,4.2,0.4578,0.3901,0.152,0.1374,17623.773,17111.8549,116439.9752,6.606983662,,1221000,
2005,4.2,0.4578,0.3901,0.152,0.1374,18699.1575,17256.2443,137877.61,7.373466015,,1222003,
2006,5.2,0.4578,0.3901,0.152,0.1374,20726.5582,17804.3692,165375.369,7.978910923,,1234000,
2007,4.7,0.4643,0.3857,0.1501,0.1429,22809.3805,18402.8089,198724.8147,8.712417603,,1234000,
2008,5.5,0.4707,0.3812,0.1481,0.1483,22844.7621,18980.1055,211455.489,9.256192207,,1244000,
2009,5.4,0.4772,0.3767,0.1461,0.1538,21675.8293,18975.0324,226299.5468,10.44017982,,1247000,
2010,5,0.4836,0.3723,0.1441,0.1592,21160.6821,18659.57,215913.4322,10.20352077,,1250000,
2011,5.1,0.49,0.3678,0.1421,0.1647,21634.583,19292.924,185208.2419,8.560749054,,1256000,
2012,5.7,0.4965,0.3634,0.1402,0.1701,22863.2529,19734.7987,165462.9516,7.23706913,,1259000,
2013,5.2,0.492,0.3663,0.1417,0.1679,24729.7058,20167.4997,162905.34,6.587435722,,1259200,
2014,5.4,0.4875,0.3692,0.1433,0.1656,28479.81,20688.6505,174933.7158,6.142376423,,1259395,
2015,5.3,0.483,0.3721,0.1449,0.1634,26817.5298,21190.0686,163605.2472,6.100682735,,1259456,
2016,5.4,0.4785,0.375,0.1465,0.1612,24214.6176,21792.4279,146988.0027,6.070217133,,1261865,
2017,5,0.474,0.3779,0.1481,0.1589,25047.5091,22415.3788,150349.0267,6.002553463,,1264499,
2018,5.1,0.474,0.3779,0.1481,0.1589,26602.676,23049.958,157174.7778,5.908232212,,1267185,
2019,5.3,0.474,0.3779,0.1481,0.1589,21035.4949,23534.1694,124748.1133,5.930362701,,1269668,
,,,,,,,,,,,,
Country,Algeria,,,,,,,,,,,
Variable,CPI,p90p100,p50p90,p0p50,p99p100,Nat Inc pAdult,Nat Inc pAdult,Nat Wealth pAdult,Wealth-Inc Ratio,10/50 Ratio,Pop,
1998,-,0.4193,0.4205,0.1602,0.1149,12134.2987,13537.6496,56431.7889,4.650601864,,,
1999,-,0.4163,0.4212,0.1625,0.1137,12032.6962,13492.098,56576.5125,4.701898098,,,
2000,-,0.4134,0.4218,0.1648,0.1125,12293.3864,13533.9303,59577.9119,4.846338272,,,
2001,-,0.4104,0.4225,0.1671,0.1113,12157.9037,13462.121,61114.9913,5.026769638,,,
2002,-,0.4075,0.4231,0.1694,0.11,12440.4256,13747.8049,64310.6611,5.169490337,,,
2003,2.6,0.4045,0.4238,0.1717,0.1088,12525.6395,14264.6654,66629.271,5.319430828,,,
2004,2.7,0.4016,0.4244,0.174,0.1076,12572.0548,14407.4355,68689.3339,5.463652134,,,
2005,2.8,0.3986,0.4251,0.1763,0.1064,13167.0315,14783.1386,73704.5397,5.597657681,,,
2006,3.1,0.3956,0.4257,0.1786,0.1052,13191.6057,14592.4018,76376.5787,5.789786339,,,
2007,3,0.3927,0.4264,0.1809,0.104,13566.8797,14665.8926,81004.211,5.970732212,,,
2008,3.2,0.3897,0.4271,0.1832,0.1028,13672.8278,14612.5135,83178.2065,6.08346796,,,
2009,2.8,0.3867,0.4277,0.1855,0.1015,13277.3444,14452.8914,83475.8892,6.287092209,,,
2010,2.9,0.3838,0.4284,0.1879,0.1003,13654.1123,14580.5044,85542.3642,6.26495266,,,
2011,2.9,0.3808,0.429,0.1902,0.0991,13664.217,14647.2269,85734.9875,6.27441597,,,
2012,3.4,0.3808,0.429,0.1902,0.0991,13679.4162,14771.7411,86427.694,6.318082809,,,
2013,3.6,0.3808,0.429,0.1902,0.0991,13568.9405,14816.2259,86448.6178,6.371066093,,,
2014,3.6,0.3808,0.429,0.1902,0.0991,13584.5764,15033.6551,86967.6425,6.401939869,,,
2015,3.4,0.3808,0.429,0.1902,0.0991,13570.4708,15277.1697,87591.9852,6.454601765,,,
2016,3.3,0.3808,0.429,0.1902,0.0991,14027.5171,15462.5554,90867.0601,6.477772236,,,
2017,3.5,0.3808,0.429,0.1902,0.0991,13794.7641,15395.6605,89515.5944,6.489099503,,,
2018,3.5,0.3808,0.429,0.1902,0.0991,13645.4631,15340.799,88785.4453,6.506590843,,,
2019,3.6,0.3808,0.429,0.1902,0.0991,13558.288,15239.2655,88465.3162,6.524815083,,,
,,,,,,,,,,,,
Country,Tunisia,,,,,,,,,,,
Variable,CPI,p90p100,p50p90,p0p50,p99p100,Nat Inc pAdult,Nat Inc pAdult,Nat Wealth pAdult,Wealth-Inc Ratio,10/50 Ratio,Pop,
1998,5,0.4888,0.3838,0.1274,0.1642,7445.5536,9255.3957,29134.8296,3.913045645,,,
1999,5,0.4884,0.3834,0.1282,0.1623,7744.0213,9573.2128,30997.9414,4.002825737,,,
2000,5.2,0.488,0.383,0.129,0.1604,7909.1577,9781.4351,31974.5025,4.042701721,,,
2001,5.3,0.4815,0.3862,0.1322,0.1537,8158.8208,9932.1573,33251.8814,4.075597763,,,
2002,4.8,0.475,0.3895,0.1355,0.147,8045.0741,9848.6491,33073.1925,4.110975742,,,
2003,4.9,0.4685,0.3928,0.1387,0.1403,8292.4654,10091.8885,34819.2674,4.198890209,,,
